id,label
1,deer
2,automobile
3,automobile
4,airplane
5,airplane
6,cat
7,airplane
8,deer
9,dog
10,ship
11,ship
12,automobile
13,cat
14,deer
15,cat
16,airplane
17,bird
18,bird
19,airplane
20,bird
21,frog
22,ship
23,bird
24,automobile
25,cat
26,automobile
27,automobile
28,dog
29,airplane
30,cat
31,cat
32,deer
33,ship
34,ship
35,airplane
36,ship
37,frog
38,cat
39,airplane
40,automobile
41,airplane
42,airplane
43,automobile
44,airplane
45,cat
46,automobile
47,bird
48,bird
49,airplane
50,automobile
51,airplane
52,dog
53,airplane
54,automobile
55,airplane
56,ship
57,ship
58,bird
59,airplane
60,cat
61,bird
62,ship
63,bird
64,automobile
65,ship
66,truck
67,airplane
68,horse
69,bird
70,deer
71,ship
72,deer
73,automobile
74,ship
75,cat
76,airplane
77,airplane
78,ship
79,horse
80,truck
81,airplane
82,bird
83,ship
84,airplane
85,ship
86,ship
87,automobile
88,airplane
89,automobile
90,ship
91,ship
92,airplane
93,airplane
94,cat
95,deer
96,automobile
97,ship
98,bird
99,automobile
100,bird
101,airplane
102,airplane
103,cat
104,ship
105,ship
106,bird
107,automobile
108,deer
109,ship
110,ship
111,bird
112,deer
113,automobile
114,bird
115,truck
116,airplane
117,dog
118,horse
119,deer
120,ship
121,truck
122,cat
123,horse
124,bird
125,ship
126,ship
127,bird
128,cat
129,frog
130,airplane
131,bird
132,deer
133,ship
134,automobile
135,automobile
136,automobile
137,cat
138,automobile
139,airplane
140,truck
141,airplane
142,cat
143,ship
144,airplane
145,automobile
146,frog
147,airplane
148,automobile
149,ship
150,frog
151,airplane
152,dog
153,dog
154,truck
155,truck
156,bird
157,airplane
158,bird
159,automobile
160,automobile
161,cat
162,cat
163,ship
164,cat
165,ship
166,cat
167,automobile
168,cat
169,cat
170,automobile
171,deer
172,automobile
173,automobile
174,automobile
175,ship
176,ship
177,airplane
178,truck
179,airplane
180,automobile
181,automobile
182,automobile
183,bird
184,ship
185,ship
186,automobile
187,automobile
188,cat
189,horse
190,bird
191,automobile
192,ship
193,airplane
194,bird
195,truck
196,airplane
197,automobile
198,bird
199,airplane
200,automobile
201,ship
202,airplane
203,bird
204,automobile
205,ship
206,bird
207,cat
208,airplane
209,automobile
210,airplane
211,automobile
212,ship
213,ship
214,automobile
215,cat
216,frog
217,dog
218,bird
219,ship
220,automobile
221,frog
222,automobile
223,automobile
224,bird
225,cat
226,truck
227,airplane
228,bird
229,ship
230,dog
231,dog
232,bird
233,bird
234,airplane
235,airplane
236,truck
237,deer
238,airplane
239,truck
240,airplane
241,automobile
242,ship
243,ship
244,cat
245,cat
246,airplane
247,ship
248,truck
249,cat
250,ship
251,bird
252,deer
253,ship
254,ship
255,dog
256,bird
257,cat
258,ship
259,cat
260,ship
261,truck
262,automobile
263,cat
264,frog
265,frog
266,automobile
267,cat
268,bird
269,bird
270,automobile
271,cat
272,ship
273,dog
274,ship
275,ship
276,cat
277,ship
278,bird
279,ship
280,ship
281,automobile
282,ship
283,dog
284,cat
285,cat
286,frog
287,frog
288,automobile
289,airplane
290,bird
291,ship
292,airplane
293,airplane
294,bird
295,frog
296,ship
297,automobile
298,airplane
299,ship
300,truck
301,frog
302,cat
303,truck
304,airplane
305,bird
306,frog
307,ship
308,cat
309,ship
310,cat
311,automobile
312,automobile
313,bird
314,automobile
315,truck
316,dog
317,ship
318,cat
319,cat
320,automobile
321,ship
322,dog
323,automobile
324,dog
325,horse
326,bird
327,airplane
328,dog
329,airplane
330,frog
331,deer
332,bird
333,bird
334,bird
335,deer
336,cat
337,cat
338,truck
339,deer
340,ship
341,ship
342,frog
343,ship
344,ship
345,ship
346,cat
347,ship
348,cat
349,deer
350,truck
351,deer
352,automobile
353,bird
354,airplane
355,deer
356,cat
357,airplane
358,ship
359,airplane
360,automobile
361,cat
362,airplane
363,airplane
364,frog
365,truck
366,ship
367,ship
368,cat
369,ship
370,cat
371,airplane
372,truck
373,truck
374,airplane
375,truck
376,deer
377,ship
378,frog
379,automobile
380,airplane
381,automobile
382,airplane
383,bird
384,ship
385,automobile
386,cat
387,airplane
388,ship
389,bird
390,cat
391,ship
392,cat
393,bird
394,ship
395,airplane
396,airplane
397,truck
398,ship
399,dog
400,ship
401,automobile
402,automobile
403,ship
404,ship
405,airplane
406,ship
407,ship
408,automobile
409,bird
410,frog
411,horse
412,ship
413,ship
414,airplane
415,ship
416,bird
417,ship
418,deer
419,bird
420,bird
421,automobile
422,cat
423,ship
424,airplane
425,airplane
426,ship
427,automobile
428,ship
429,automobile
430,airplane
431,cat
432,ship
433,airplane
434,bird
435,truck
436,airplane
437,automobile
438,truck
439,automobile
440,automobile
441,airplane
442,ship
443,automobile
444,airplane
445,ship
446,dog
447,deer
448,automobile
449,airplane
450,frog
451,airplane
452,frog
453,frog
454,airplane
455,ship
456,bird
